FlightID,Code,seatsAvail,authLevel,resHoldTotal,reportDt,orig,dest,DptDt,Carrier,fltNr,opsSuffix,fltNrDptDt,fltNrArrDt,DptTime,ArrTime
211,B,0,275,1,2016-05-28,ZUBVP,MOWKZ,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,02:26:00,09:08:00
211,Y,87,275,4,2016-05-28,ZUBVP,MOWKZ,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,02:26:00,09:08:00
211,B,1,275,0,2016-05-28,SASOV,RZN1,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,03:21:00,05:27:00
211,Y,88,275,0,2016-05-28,SASOV,RZN1,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,03:21:00,05:27:00
211,B,0,275,4,2016-05-28,SASOV,MOWKZ,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,03:21:00,09:08:00
211,Y,87,275,2,2016-05-28,SASOV,MOWKZ,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,03:21:00,09:08:00
211,B,7,275,4,2016-05-28,RZN1,MOWKZ,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,05:39:00,09:08:00
211,Y,93,275,1,2016-05-28,RZN1,MOWKZ,2016-05-27,FPC,49,J,2016-05-26,2016-05-27,05:39:00,09:08:00
299,B,15,76,2,2016-05-28,KUF,SYZR1,2016-05-26,FPC,337,J,2016-05-26,2016-05-28,20:35:00,23:21:00
299,Y,44,76,0,2016-05-28,KUF,SYZR1,2016-05-26,FPC,337,J,2016-05-26,2016-05-28,20:35:00,23:21:00
299,X,157,472,0,2016-05-28,KUF,SYZR1,2016-05-26,FPC,337,J,2016-05-26,2016-05-28,20:35:00,23:21:00
299,K,9,62,1,2016-05-28,KUF,SYZR1,2016-05-26,FPC,337,J,2016-05-26,2016-05-28,20:35:00,23:21:00
299,B,14,76,0,2016-05-28,KUF,INZA,2016-05-26,FPC,337,J,2016-05-26,2016-05-28,20:35:00,02:35:00
299,Y,43,76,0,2016-05-28,KUF,INZA,2016-05-26,FPC,337,J,2016-05-26,2016-05-28,20:35:00,02:35:00
